Title	Given planned earliest start	Given planned earliest end	Notes	Assigned Resources	Additional Title
"D&C 34"	"02/26/2013"	"02/27/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 35:1-10"	"02/27/2013"	"02/28/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 35:11-27"	"02/28/2013"	"03/01/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 36-37"	"03/01/2013"	"03/02/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 38:1-12"	"03/02/2013"	"03/03/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 38:13-29"	"03/03/2013"	"03/04/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 38:30-42"	"03/04/2013"	"03/05/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 39:1-10"	"03/05/2013"	"03/06/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 39:11-24"	"03/06/2013"	"03/07/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 40"	"03/07/2013"	"03/08/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 41"	"03/08/2013"	"03/09/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 42:1-8"	"03/09/2013"	"03/10/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 42:9-27"	"03/10/2013"	"03/11/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 42:28-39"	"03/11/2013"	"03/12/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 42:40-60"	"03/12/2013"	"03/13/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 42:61-76"	"03/13/2013"	"03/14/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 42:77-93"	"03/14/2013"	"03/15/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 43:1-8"	"03/15/2013"	"03/16/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 43:9-22"	"03/16/2013"	"03/17/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 43:23-35"	"03/17/2013"	"03/18/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 44"	"03/18/2013"	"03/19/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 45:1-11"	"03/19/2013"	"03/20/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 45:12-33"	"03/20/2013"	"03/21/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 45:34-56"	"03/21/2013"	"03/22/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 45:57-75"	"03/22/2013"	"03/23/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 46:1-6"	"03/23/2013"	"03/24/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 46:7-15"	"03/24/2013"	"03/25/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 46:16-33"	"03/25/2013"	"03/26/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 47-48"	"03/26/2013"	"03/27/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 49:1-8"	"03/27/2013"	"03/28/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 49:9-28"	"03/28/2013"	"03/29/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 50:1-11"	"03/29/2013"	"03/30/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 50:12-30"	"03/30/2013"	"03/31/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 50:31-46"	"03/31/2013"	"04/01/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 51:1-5"	"04/01/2013"	"04/02/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 51:6-20"	"04/02/2013"	"04/03/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 52:1-9"	"04/03/2013"	"04/04/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 52:10-27"	"04/04/2013"	"04/05/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 52:28-44"	"04/05/2013"	"04/06/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 53-54"	"04/06/2013"	"04/07/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 55"	"04/07/2013"	"04/08/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 56:1-8"	"04/08/2013"	"04/09/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 56:9-20"	"04/09/2013"	"04/10/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 57"	"04/10/2013"	"04/11/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 58:1-7"	"04/11/2013"	"04/12/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 58:8-24"	"04/12/2013"	"04/13/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 58:25-41"	"04/13/2013"	"04/14/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 58:42-55"	"04/14/2013"	"04/15/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 58:56-65"	"04/15/2013"	"04/16/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 59"	"04/16/2013"	"04/17/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 60:1-6"	"04/17/2013"	"04/18/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 60:7-17"	"04/18/2013"	"04/19/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 61:1-9"	"04/19/2013"	"04/20/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 61:10-24"	"04/20/2013"	"04/21/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 61:25-39"	"04/21/2013"	"04/22/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 62"	"04/22/2013"	"04/23/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 63:1-11"	"04/23/2013"	"04/24/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 63:12-29"	"04/24/2013"	"04/25/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 63:30-49"	"04/25/2013"	"04/26/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 63:50-66"	"04/26/2013"	"04/27/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 64:1-11"	"04/27/2013"	"04/28/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 64:12-24"	"04/28/2013"	"04/29/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 64:25-43"	"04/29/2013"	"04/30/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 65"	"04/30/2013"	"05/01/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 66"	"05/01/2013"	"05/02/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 67"	"05/02/2013"	"05/03/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 68:1-7"	"05/03/2013"	"05/04/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 68:8-21"	"05/04/2013"	"05/05/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 68:22-35"	"05/05/2013"	"05/06/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 69"	"05/06/2013"	"05/07/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 70"	"05/07/2013"	"05/08/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 71"	"05/08/2013"	"05/09/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 72:1-11"	"05/09/2013"	"05/10/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 72:12-26"	"05/10/2013"	"05/11/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 73-74"	"05/11/2013"	"05/12/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 75:1-9"	"05/12/2013"	"05/13/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 75:10-21"	"05/13/2013"	"05/14/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 75:22-36"	"05/14/2013"	"05/15/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 76:1-8"	"05/15/2013"	"05/16/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 76:9-24"	"05/16/2013"	"05/17/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 76:25-43"	"05/17/2013"	"05/18/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 76:44-62"	"05/18/2013"	"05/19/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 76:63-82"	"05/19/2013"	"05/20/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 76:83-103"	"05/20/2013"	"05/21/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 76:104-119"	"05/21/2013"	"05/22/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 77:1-12"	"05/22/2013"	"05/23/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 77:13-23"	"05/23/2013"	"05/24/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 78:1-8"	"05/24/2013"	"05/25/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 78:9-22"	"05/25/2013"	"05/26/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 79-80"	"05/26/2013"	"05/27/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 81"	"05/27/2013"	"05/28/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 82:1-10"	"05/28/2013"	"05/29/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
