Title	Given planned earliest start	Given planned earliest end	Notes	Assigned Resources	Additional Title
"D&C 124:17-26"	"09/05/2013"	"09/06/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 124:27-39"	"09/06/2013"	"09/07/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 124:40-51"	"09/07/2013"	"09/08/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 124:52-63"	"09/08/2013"	"09/09/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 124:64-74"	"09/09/2013"	"09/10/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 124:75-86"	"09/10/2013"	"09/11/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 124:87-96"	"09/11/2013"	"09/12/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 124:97-109"	"09/12/2013"	"09/13/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 124:110-122"	"09/13/2013"	"09/14/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 124:123-135"	"09/14/2013"	"09/15/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 124:136-145"	"09/15/2013"	"09/16/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 125-126"	"09/16/2013"	"09/17/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 127:1-2"	"09/17/2013"	"09/18/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 127:3-12"	"09/18/2013"	"09/19/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 128:1-4"	"09/19/2013"	"09/20/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 128:5-9"	"09/20/2013"	"09/21/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 128:10-16"	"09/21/2013"	"09/22/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 128:17-20"	"09/22/2013"	"09/23/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 128:21-25"	"09/23/2013"	"09/24/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 129"	"09/24/2013"	"09/25/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 130:1-9"	"09/25/2013"	"09/26/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 130:10-23"	"09/26/2013"	"09/27/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 131"	"09/27/2013"	"09/28/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 132:1-7"	"09/28/2013"	"09/29/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 132:8-18"	"09/29/2013"	"09/30/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 132:19-26"	"09/30/2013"	"10/01/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 132:27-38"	"10/01/2013"	"10/02/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 132:39-49"	"10/02/2013"	"10/03/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 132:50-59"	"10/03/2013"	"10/04/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 132:60-66"	"10/04/2013"	"10/05/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 133:1-8"	"10/05/2013"	"10/06/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 133:9-24"	"10/06/2013"	"10/07/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 133:25-42"	"10/07/2013"	"10/08/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 133:43-56"	"10/08/2013"	"10/09/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 133:57-74"	"10/09/2013"	"10/10/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 134:1-6"	"10/10/2013"	"10/11/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 134:7-12"	"10/11/2013"	"10/12/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 135:1-3"	"10/12/2013"	"10/13/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 135:4-7"	"10/13/2013"	"10/14/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 136:1-10"	"10/14/2013"	"10/15/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 136:11-29"	"10/15/2013"	"10/16/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 136:30-42"	"10/16/2013"	"10/17/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 137"	"10/17/2013"	"10/18/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 138:1-8"	"10/18/2013"	"10/19/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 138:9-22"	"10/19/2013"	"10/20/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 138:23-34"	"10/20/2013"	"10/21/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 138:35-48"	"10/21/2013"	"10/22/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 138:49-60"	"10/22/2013"	"10/23/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"Off. Dec. 1 (to Excerpt)"	"10/23/2013"	"10/24/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"Off. Dec. 1 (Excerpts to end)"	"10/24/2013"	"10/25/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"Off. Dec. 2"	"10/25/2013"	"10/26/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"PoGP-Introductory Note"	"10/26/2013"	"10/27/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"Moses 1:1-8"	"10/27/2013"	"10/28/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"Moses 1:9-17"	"10/28/2013"	"10/29/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"Moses 1:18-25"	"10/29/2013"	"10/30/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"Moses 1:26-35"	"10/30/2013"	"10/31/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"Moses 1:36-42"	"10/31/2013"	"11/01/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"Moses 2:1-16"	"11/01/2013"	"11/02/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"Moses 2:17-31"	"11/02/2013"	"11/03/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"Moses 3:1-9"	"11/03/2013"	"11/04/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"Moses 3:10-25"	"11/04/2013"	"11/05/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"Moses 4:1-16"	"11/05/2013"	"11/06/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"Moses 4:17-32"	"11/06/2013"	"11/07/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"Moses 5:1-9"	"11/07/2013"	"11/08/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"Moses 5:10-21"	"11/08/2013"	"11/09/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"Moses 5:22-34"	"11/09/2013"	"11/10/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"Moses 5:35-47"	"11/10/2013"	"11/11/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"Moses 5:48-59"	"11/11/2013"	"11/12/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"Moses 6:1-16"	"11/12/2013"	"11/13/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"Moses 6:17-30"	"11/13/2013"	"11/14/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"Moses 6:31-43"	"11/14/2013"	"11/15/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"Moses 6:44-57"	"11/15/2013"	"11/16/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"Moses 6:58-68"	"11/16/2013"	"11/17/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"Moses 7:1-10"	"11/17/2013"	"11/18/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"Moses 7:11-22"	"11/18/2013"	"11/19/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"Moses 7:23-35"	"11/19/2013"	"11/20/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"Moses 7:36-47"	"11/20/2013"	"11/21/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"Moses 7:48-59"	"11/21/2013"	"11/22/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"Moses 7:60-69"	"11/22/2013"	"11/23/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"Moses 8:1-17"	"11/23/2013"	"11/24/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"Moses 8:18-30"	"11/24/2013"	"11/25/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"Abraham 1:1-6"	"11/25/2013"	"11/26/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"Abraham 1:7-14"	"11/26/2013"	"11/27/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"Abraham 1:15-24"	"11/27/2013"	"11/28/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"Abraham 1:25-31"	"11/28/2013"	"11/29/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"Abraham 2:1-11"	"11/29/2013"	"11/30/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"Abraham 2:12-25"	"11/30/2013"	"12/01/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"Abraham 3:1-8"	"12/01/2013"	"12/02/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"Abraham 3:9-18"	"12/02/2013"	"12/03/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"Abraham 3:19-28"	"12/03/2013"	"12/04/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"Abraham 4:1-16"	"12/04/2013"	"12/05/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"Abraham 4:17-31"	"12/05/2013"	"12/06/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"Abraham 5:1-9"	"12/06/2013"	"12/07/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"Abraham 5:10-21"	"12/07/2013"	"12/08/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"Abr. Facsimiles 1-3"	"12/08/2013"	"12/09/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"Articles of Faith"	"12/31/2013"	"01/01/2014"	"FREQ=YEARLY;INTERVAL=1"	""	""
"JS-Matthew 1:1-11"	"12/09/2013"	"12/10/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"JS-Matthew 1:12-26"	"12/10/2013"	"12/11/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"JS-Matthew 1:27-38"	"12/11/2013"	"12/12/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"JS-Matthew 1:39-55"	"12/12/2013"	"12/13/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"JS-H Cowdery note"	"12/30/2013"	"12/31/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"JS-History 1:1-4"	"12/13/2013"	"12/14/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"JS-History 1:5-8"	"12/14/2013"	"12/15/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"JS-History 1:9-14"	"12/15/2013"	"12/16/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"JS-History 1:15-19"	"12/16/2013"	"12/17/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"JS-History 1:20-22"	"12/17/2013"	"12/18/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"JS-History 1:23-25"	"12/18/2013"	"12/19/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"JS-History 1:26-28"	"12/19/2013"	"12/20/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"JS-History 1:29-34"	"12/20/2013"	"12/21/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"JS-History 1:35-41"	"12/21/2013"	"12/22/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"JS-History 1:42-46"	"12/22/2013"	"12/23/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"JS-History 1:47-51"	"12/23/2013"	"12/24/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"JS-History 1:52-55"	"12/24/2013"	"12/25/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"JS-History 1:56-59"	"12/25/2013"	"12/26/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"JS-History 1:60-62"	"12/26/2013"	"12/27/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"JS-History 1:63-65"	"12/27/2013"	"12/28/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"JS-History 1:66-71"	"12/28/2013"	"12/29/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"JS-History 1:72-75"	"12/29/2013"	"12/30/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""

