Track,Date,Reading
Book of Mormon,May 25,Alma 2
Book of Mormon,May 26,Alma 3
Book of Mormon,May 27,Alma 3
Book of Mormon,May 28,Alma 4
Book of Mormon,May 29,Alma 5
Book of Mormon,May 30,Alma 5
Book of Mormon,May 31,Alma 5
Book of Mormon,Jun 1,Alma 5
Book of Mormon,Jun 2,Alma 6
Book of Mormon,Jun 3,Alma 7
Book of Mormon,Jun 4,Alma 8
Book of Mormon,Jun 5,Alma 8
Book of Mormon,Jun 6,Alma 9
Book of Mormon,Jun 7,Alma 9
Book of Mormon,Jun 8,Alma 10
Book of Mormon,Jun 9,Alma 10
Book of Mormon,Jun 10,Alma 11
Book of Mormon,Jun 11,Alma 11
Book of Mormon,Jun 12,Alma 12
Book of Mormon,Jun 13,Alma 12
Book of Mormon,Jun 14,Alma 13
Book of Mormon,Jun 15,Alma 13
Book of Mormon,Jun 16,Alma 14
Book of Mormon,Jun 17,Alma 14
Book of Mormon,Jun 18,Alma 15
Book of Mormon,Jun 19,Alma 16
Book of Mormon,Jun 20,Alma 16
Book of Mormon,Jun 21,Alma 17
Book of Mormon,Jun 22,Alma 17
Book of Mormon,Jun 23,Alma 18
Book of Mormon,Jun 24,Alma 18
Book of Mormon,Jun 25,Alma 19
Book of Mormon,Jun 26,Alma 19
Book of Mormon,Jun 27,Alma 20
Book of Mormon,Jun 28,Alma 21
Book of Mormon,Jun 29,Alma 21
Book of Mormon,Jun 30,Alma 22
Book of Mormon,Jul 1,Alma 22
Book of Mormon,Jul 2,Alma 23
Book of Mormon,Jul 3,Alma 24
Book of Mormon,Jul 4,Alma 24
Book of Mormon,Jul 5,Alma 25
Book of Mormon,Jul 6,Alma 26
Book of Mormon,Jul 7,Alma 26
Book of Mormon,Jul 8,Alma 27
Book of Mormon,Jul 9,Alma 27
Book of Mormon,Jul 10,Alma 28
Book of Mormon,Jul 11,Alma 30
Book of Mormon,Jul 12,Alma 30
Book of Mormon,Jul 13,Alma 30
Book of Mormon,Jul 14,Alma 30
Book of Mormon,Jul 15,Alma 31
Book of Mormon,Jul 16,Alma 31
Book of Mormon,Jul 17,Alma 32
Book of Mormon,Jul 18,Alma 32
Book of Mormon,Jul 19,Alma 33
Book of Mormon,Jul 20,Alma 34
Book of Mormon,Jul 21,Alma 34
Book of Mormon,Jul 22,Alma 35
Book of Mormon,Jul 23,Alma 36
Book of Mormon,Jul 24,Alma 36
Book of Mormon,Jul 25,Alma 37
Book of Mormon,Jul 26,Alma 37
Book of Mormon,Jul 27,Alma 37
Book of Mormon,Jul 28,Alma 39
Book of Mormon,Jul 29,Alma 39
Book of Mormon,Jul 30,Alma 40
Book of Mormon,Jul 31,Alma 41
Book of Mormon,Aug 1,Alma 41
Book of Mormon,Aug 2,Alma 42
Book of Mormon,Aug 3,Alma 43
Book of Mormon,Aug 4,Alma 43
Book of Mormon,Aug 5,Alma 43
Book of Mormon,Aug 6,Alma 44
Book of Mormon,Aug 7,Alma 44
Book of Mormon,Aug 8,Alma 45
Book of Mormon,Aug 9,Alma 46
Book of Mormon,Aug 10,Alma 46
Book of Mormon,Aug 11,Alma 47
Book of Mormon,Aug 12,Alma 47
Book of Mormon,Aug 13,Alma 48
Book of Mormon,Aug 14,Alma 48
Book of Mormon,Aug 15,Alma 49
Book of Mormon,Aug 16,Alma 49
Book of Mormon,Aug 17,Alma 50
Book of Mormon,Aug 18,Alma 50
Book of Mormon,Aug 19,Alma 51
Book of Mormon,Aug 20,Alma 51
Book of Mormon,Aug 21,Alma 52
Book of Mormon,Aug 22,Alma 52
Book of Mormon,Aug 23,Alma 53
Book of Mormon,Aug 24,Alma 54
Book of Mormon,Aug 25,Alma 55
Book of Mormon,Aug 26,Alma 55
Book of Mormon,Aug 27,Alma 56
Book of Mormon,Aug 28,Alma 56
Book of Mormon,Aug 29,Alma 57
Book of Mormon,Aug 30,Alma 57
Book of Mormon,Aug 31,Alma 58
Book of Mormon,Sep 1,Alma 58
Book of Mormon,Sep 2,Alma 59
Book of Mormon,Sep 3,Alma 60
Book of Mormon,Sep 4,Alma 60
Book of Mormon,Sep 5,Alma 61
Book of Mormon,Sep 6,Alma 62
Book of Mormon,Sep 7,Alma 62
Book of Mormon,Sep 8,Alma 63
Book of Mormon,Sep 9,Alma 63
Book of Mormon,Sep 10,Helaman 1
Book of Mormon,Sep 11,Helaman 1
Book of Mormon,Sep 12,Helaman 2
Book of Mormon,Sep 13,Helaman 3
Book of Mormon,Sep 14,Helaman 3
Book of Mormon,Sep 15,Helaman 4
Book of Mormon,Sep 16,Helaman 5
Book of Mormon,Sep 17,Helaman 5
Book of Mormon,Sep 18,Helaman 5
Book of Mormon,Sep 19,Helaman 6
Book of Mormon,Sep 20,Helaman 6
Book of Mormon,Sep 21,Helaman 7
Book of Mormon,Sep 22,Helaman 8
Book of Mormon,Sep 23,Helaman 8
Book of Mormon,Sep 24,Helaman 9
Book of Mormon,Sep 25,Helaman 9
Book of Mormon,Sep 26,Helaman 11
Book of Mormon,Sep 27,Helaman 11
Book of Mormon,Sep 28,Helaman 12
Book of Mormon,Sep 29,Helaman 12
Book of Mormon,Sep 30,Helaman 13
Book of Mormon,Oct 1,Helaman 13
Book of Mormon,Oct 2,Helaman 14
Book of Mormon,Oct 3,Helaman 14
Book of Mormon,Oct 4,Helaman 15
Book of Mormon,Oct 5,Helaman 16
Book of Mormon,Oct 6,3 Nephi 1
